"rankid","rank","artist","song","year","geniuslyrics","artist_primary","decade","wordcount"
"155","55","Bob Moore","Mexico","1961",,"Bob Moore","1960's","1641"
"25","25","The Ventures","Walk, Don't Run","1960",,"The Ventures","1960's","3992"
"305","5","The Chiffons","He's So Fine","1963",,"The Chiffons","1960's","1765"
"490","90","The Ventures","Walk, Don't Run '64","1964",,"The Ventures","1960's","17072"
"478","78","Dean Martin","The Door Is Still Open to My Heart","1964",,"Dean Martin","1960's","6873"
"400","100","Del Shannon","Little Town Flirt","1963",,"Del Shannon","1960's","2011"
"358","58","Lonnie Mack","Memphis","1963",,"Lonnie Mack","1960's","3630"
"545","45","Johnny Rivers","The Seventh Son","1965",,"Johnny Rivers","1960's","23057"
"682","82","Bob Dylan","Rainy Day Women #12 & 35","1966",,"Bob Dylan","1960's","1334"
"812","12","O. C. Smith","Little Green Apples","1968",,"O. C. Smith","1960's","20498"
"3328","28","Spin Doctors","Two Princes","1993",,"Spin Doctors","1990's","5781"
"859","59","The Bee Gees","I've Gotta Get a Message to You","1968",,"The Bee Gees","1960's","3625"
"745","45","The Tremeloes","Silence Is Golden","1967",,"The Tremeloes","1960's","3606"
"948","48","The Grass Roots","I'd Wait a Million Years","1969",,"The Grass Roots","1960's","5360"
"1064","64","The Brotherhood of Man","United We Stand","1970",,"The Brotherhood of Man","1970's","4078"
"1158","58","The Stampeders","Sweet City Woman","1971",,"The Stampeders","1970's","2383"
"1103","3","Carole King","It's Too Late / I Feel the Earth Move","1971",,"Carole King","1970's","1628"
"1130","30","The Carpenters","Superstar","1971",,"The Carpenters","1970's","2693"
"1265","65","The Carpenters","Hurting Each Other","1972",,"The Carpenters","1970's","3353"
"2014","14","The Spinners","Working My Way Back to You/Forgive Me, Girl","1980",,"The Spinners","1980's","37219"
"1529","29","The Isley Brothers","Fight the Power","1975",,"The Isley Brothers","1970's","2116"
"1533","33","The Carpenters","Please Mr. Postman","1975",,"The Carpenters","1970's","5574"
"1370","70","The Carpenters","Yesterday Once More","1973",,"The Carpenters","1970's","2693"
"1376","76","Bette Midler","Do You Wanna Dance?","1973",,"Bette Midler","1970's","4994"
"1657","57","C. W. McCall","Convoy","1976",,"C. W. McCall","1970's","3693"
"1826","26","Gerry Rafferty","Baker Street","1978",,"Gerry Rafferty","1970's","5781"
"1973","73","Ian Matthews","Shake It","1979",,"Ian Matthews","1970's","2914"
"3151","51","C+C Music Factory","Things That Make You Go Hmmm...","1991",,"C+C Music Factory","1990's","18877"
"3416","16","Mariah Carey","Without You / Never Forget You","1994",,"Mariah Carey","1990's","5489"
"3638","38","Monica","Before You Walk Out of My Life / Like This and Like That","1996",,"Monica","1990's","3282"
"3689","89","Junior M.A.F.I.A. featuring The Notorious B.I.G.","Get Money","1996",,"Junior M.A.F.I.A. ","1990's","6930"
"3887","87","Jewel","Foolish Games / You Were Meant for Me","1998",,"Jewel","1990's","36908"
"3973","73","Whitney Houston","My Love Is Your Love","1999",,"Whitney Houston","1990's","5781"
"4564","64","Backstreet Boys","Incomplete","2005",,"Backstreet Boys","2000's","5781"
"4608","8","Chamillionaire featuring Krayzie Bone","Ridin'","2006",,"Chamillionaire ","2000's","2257"
"5339","39","Lil Wayne featuring Drake and Future","Love Me","2013",,"Lil Wayne ","2010's","2462"
"5161","61","Usher","More","2011",,"Usher","2010's","5781"
"5240","40","Jay-Z and Kanye West","Niggas in Paris","2012",,"Jay-Z and Kanye West","2010's","3992"
"127","27","Dick and Dee Dee","The Mountain's High","1961",,"Dick and Dee Dee","1960's","12929"
"3518","18","Shaggy","Boombastic / In the Summertime","1995",,"Shaggy","1990's","5781"
"1160","60","Paul McCartney","Another Day / Oh Woman, Oh Why","1971",,"Paul McCartney","1970's","22070"
"1290","90","Original Cast of Godspell","Day by Day","1972",,"Original Cast of Godspell","1970's","4906"
"1359","59","The Carpenters","Sing","1973",,"The Carpenters","1970's","3476"
"4212","12","Ja Rule featuring Ashanti","Always on Time","2002",,"Ja Rule ","2000's","2263"
"1678","78","The Beatles","Got to Get You into My Life","1976",,"The Beatles","1970's","1334"
"2391","91","Musical Youth","Pass the Dutchie","1983",,"Musical Youth","1980's","1334"
"2321","21","The Greg Kihn Band","Jeopardy","1983",,"The Greg Kihn Band","1980's","38438"
"2314","14","Bob Seger & The Silver Bullet Band","Shame on the Moon","1983",,"Bob Seger & The Silver Bullet Band","1980's","4788"
"2515","15","Huey Lewis and the News","The Power of Love","1985",,"Huey Lewis and the News","1980's","12758"
"2840","40","Patrick Swayze featuring Wendy Fraser","She's Like the Wind","1988",,"Patrick Swayze ","1980's","5781"
"3476","76","Culture Beat","Mr. Vain","1994",,"Culture Beat","1990's","5781"
"3268","68","Genesis","No Son of Mine","1992",,"Genesis","1990's","5781"
"3377","77","Inner Circle","Sweat (A La La La La Long)","1993",,"Inner Circle","1990's","5781"
"3418","18","Elton John","Can You Feel the Love Tonight","1994",,"Elton John","1990's","2080"
"4047","47","Whitney Houston","My Love Is Your Love","2000",,"Whitney Houston","2000's","5781"
"3501","1","Coolio featuring L.V.","Gangsta's Paradise","1995",,"Coolio ","1990's","2525"
"832","32","The Intruders","Cowboys to Girls","1968",,"The Intruders","1960's","18823"
"1928","28","Billy Joel","My Life","1979",,"Billy Joel","1970's","5781"
"3945","45","'N Sync","(God Must Have Spent) A Little More Time on You","1999",,"'N Sync","1990's","23000"
"4208","8","Fat Joe featuring Ashanti","What's Luv?","2002",,"Fat Joe ","2000's","2513"
"5063","63","B.o.B featuring Rivers Cuomo","Magic","2010",,"B.o.B ","2010's","2578"
"5359","59","Wale featuring Tiara Thomas","Bad","2013",,"Wale ","2010's","2711"
"5588","88","Big Sean featuring Drake","Blessings","2015",,"Big Sean ","2010's","3008"
"5380","80","Blake Shelton","Sure Be Cool If You Did","2013",,"Blake Shelton","2010's","1964"
"1852","52","Bob Seger & The Silver Bullet Band","Still the Same","1978",,"Bob Seger & The Silver Bullet Band","1970's","39718"
"1773","73","Lord David Dundas","Jeans On","1977",,"Lord David Dundas","1970's","26340"
"363","63","Bill Pursell","Our Winter Love","1963",,"Bill Pursell","1960's","39718"
"3615","15","Gin Blossoms","Follow You Down / Til I Hear It from You","1996",,"Gin Blossoms","1990's","26340"
"3702","2","Jewel","Foolish Games / You Were Meant for Me","1997",,"Jewel","1990's","36908"
"2835","35","The Bangles","A Hazy Shade of Winter","1988",,"The Bangles","1980's","13275"
"57","57","Bill Black's Combo","White Silver Sands","1960",,"Bill Black's Combo","1960's","12929"
"326","26","Little Peggy March","I Will Follow Him","1963",,"Little Peggy March","1960's","16715"
"1002","2","The Carpenters","(They Long to Be) Close to You","1970",,"The Carpenters","1970's","7902"
"1191","91","Neil Diamond","I Am...I Said","1971",,"Neil Diamond","1970's","11735"
"4215","15","P. Diddy featuring Usher and Loon","I Need a Girl (Part One)","2002",,"P. Diddy ","2000's","5781"
"3795","95","The Cranberries","When You're Gone / Free to Decide","1997",,"The Cranberries","1990's","9085"
"1285","85","Harry Chapin","Taxi","1972",,"Harry Chapin","1970's","1334"
"3454","54","Bruce Springsteen","Streets of Philadelphia","1994",,"Bruce Springsteen","1990's","5781"
"1163","63","Brewer & Shipley","One Toke Over the Line","1971",,"Brewer & Shipley","1970's","1334"
"1156","56","Chicago","Beginnings / Colour My World	","1971",,"Chicago","1970's","6730"
"3586","86","D'Angelo","Brown Sugar","1995",,"D'Angelo","1990's","1334"
"3026","26","Snap!","The Power","1990",,"Snap!","1990's","5781"
"2116","16","Raydio","A Woman Needs Love (Just Like You Do)","1981",,"Raydio","1980's","9128"
"2829","29","Phil Collins","A Groovy Kind of Love","1988",,"Phil Collins","1980's","5781"
"3703","3","Puff Daddy featuring Faith Evans and 112","I'll Be Missing You","1997",,"Puff Daddy ","1990's","5781"
"1573","73","Paul Anka & Odia Coates","I Don't Like to Sleep Alone","1975",,"Paul Anka & Odia Coates","1970's","8166"
"1244","44","Cat Stevens","Morning Has Broken","1972",,"Cat Stevens","1970's","5781"
"3542","42","Method Man featuring Mary J. Blige","I'll Be There for You/You're All I Need to Get By","1995",,"Method Man ","1990's","1691"
"4124","24","Christina Aguilera, Lil' Kim, Mýa and Pink","Lady Marmalade","2001",,"Christina Aguilera, Lil' Kim, Mýa and Pink","2000's","1682"
"5527","27","Selena Gomez featuring ASAP Rocky","Good for You","2015",,"Selena Gomez ","2010's","697"
"897","97","Creedence Clearwater Revival","Suzie Q.","1968",,"Creedence Clearwater Revival","1960's","1682"
"3633","33","Coolio featuring L.V.","Gangsta's Paradise","1996",,"Coolio ","1990's","2525"
"5443","43","Kid Ink featuring Chris Brown","Show Me","2014",,"Kid Ink ","2010's","1640"
"5348","48","J. Cole featuring Miguel","Power Trip","2013",,"J. Cole ","2010's","2428"
"5840","40","The Weeknd and Kendrick Lamar","Pray for Me","2018",,"The Weeknd and Kendrick Lamar","2010's","1499"
"4314","14","50 Cent featuring Nate Dogg","21 Questions","2003",,"50 Cent ","2000's","2061"
"2326","26","The Pretenders","Back on the Chain Gang","1983",,"The Pretenders","1980's","2034"
"2067","67","Bob Seger and the Silver Bullet Band","Fire Lake","1980",,"Bob Seger and the Silver Bullet Band","1980's","4788"
"2921","21","Milli Vanilli","Blame It on the Rain","1989",,"Milli Vanilli","1980's","701"
"3046","46","Milli Vanilli","Blame It on the Rain","1990",,"Milli Vanilli","1990's","701"
"5519","19","Skrillex and Diplo featuring Justin Bieber","Where Are Ü Now","2015",,"Skrillex and Diplo ","2010's","697"
"5427","27","Jessie J, Ariana Grande and Nicki Minaj","Bang Bang","2014",,"Jessie J, Ariana Grande and Nicki Minaj","2010's","697"
"5580","80","Jessie J, Ariana Grande and Nicki Minaj","Bang Bang","2015",,"Jessie J, Ariana Grande and Nicki Minaj","2010's","697"
"3033","33","New Kids on the Block","Step by Step","1990",,"New Kids on the Block","1990's","5781"
"81","81","Spencer Ross","Tracy's Theme","1960",,"Spencer Ross","1960's","26217"
"1505","5","Frankie Valli","My Eyes Adored You","1975",,"Frankie Valli","1970's","39718"
